plate,phone
NIL445,0459743024
AAQ304,0471352097
HCC200,0464964591
YVY168,0496365713
OSB006,0415782656
ZSW509,0437395644
VYB324,0479002058
NUJ299,0474991194
TNH621,0411094277
MYX081,0499596818
JCP089,0464544861
GJP103,0498942246
AQK452,0485589408
FUT926,0469175044
QWK167,0457097553
UZG778,0422532388
FVQ636,0454556433
LFY449,0478919813
KKS139,0436707070
QEJ640,0404253660
GAZ634,0482390965
QEP445,0419588449
FHB140,0470600135
VTA250,0429852367
VRE148,0428378917
QUL173,0463662525
YZO684,0450318247
YSJ018,0449476935
WNQ217,0418197335
FHW828,0476773698
NFV577,0418179314
XAT223,0484805490
LRD629,0414161827
INB219,0447126235
HLT819,0463349237
UTQ650,0422874214
AJU219,0481359383
VDS543,0463309664
QTB868,0400456304
KUE492,0411638636
BBF360,0487340010
HHC293,0477043264
UUE046,0422040947
DCU947,0415377969
WWB007,0409512053
HLR776,0447052937
DBU116,0437333311
ZNQ357,0481740604
HAF612,0403943346
PVX108,0479350534
OLF958,0409209709
JEW943,0439633634
MXO947,0498790300
YTY399,0441267236
RAV517,0475048945
OOV882,0437621946
TMJ183,0406699603
GPV094,0486691654
VAP125,0421802327
AMP442,0401105420
NCB333,0413668240
SUK588,0485155587
SSO670,0436223603
DRH744,0438821966
ICC848,0401357581
PXZ877,0436542758
FEF704,0403029646
ZKI550,0487389499
PXB104,0448093510
TFR600,0443265714
NCI817,0454216105
GLC150,0484816012
DMV988,0413235135
CXC213,0441060482
NJJ551,0471218206
CPW620,0435216662
LXO918,0490080747
BND311,0478873233
QZJ126,0484069750
SFQ363,0481152947
JIR428,0476461200
QNF226,0439167293
ICV731,0494092679
EEN471,0462113573
OZQ112,0436078207
DQT954,0487701681
IBJ820,0476743934
FMZ962,0430698215
TOG171,0446118244
BYH794,0464336458
LPM225,0440232173
AIH723,0473960220
XRR092,0455996882
BJW656,0479800640
SJY936,0474484120
DIQ641,0496518202
JHH452,0499336469
FRM803,0484164400
IWW297,0413940560
VGV717,0470008223
PQT486,0422200454
EFN895,0411287543
RLB697,0441093356
AGT855,0404701172
JWQ151,0400852490
HIM295,0410678515
MNG526,0441458544
HYP903,0417746045
HJO831,0472126750
JZJ951,0436917951
ZOG325,0432543270
YZR087,0439980538
NMW017,0476027869
ZDR958,0413088506
LDB312,0495462042
ZIY844,0454388696
FYZ924,0444535160
XHT820,0496839819
AWN648,0410296524
BVL879,0470642437
LHJ978,0466718496
LDV497,0459001647
NZN855,0467420933
LIQ015,0407772063
SNN058,0475788043
NSM170,0428931903
OWS689,0456276126
VZG613,0499385657
VQZ962,0494334786
LAL180,0452598998
JOG389,0477647147
XDB570,0466567286
BXM123,0478670872
SBO830,0422731144
ULO415,0489656357
KPK617,0429142161
DVX152,0401575182
BCB035,0419063312
FZN013,0439346786
AXT233,0439953166
CYO395,0457785366
PZJ400,0417606622
KXJ794,0444357649
BBP533,0450155332
XZQ218,0467938603
JUP156,0451128823
SRM219,0472705489
FBK162,0466641068
MQY428,0495795033
RRO678,0445866192
CSP874,0412977484
CXS762,0468686541
JVK170,0444146344
VQD902,0493364572
GKY093,0414219069
VHY944,0491260133
MEW403,0415991070
EQJ144,0419191391
VUE948,0446590849
OIG317,0465081668
XVJ320,0492020541
WFG804,0403143247
MAU547,0454432887
PNE638,0470584685
TTW609,0465260605
RKB315,0469936240
LZG546,0406891828
NTE145,0465183310
HSA835,0493379688
INT408,0497047334
MDN808,0438990413
RHX544,0400033515
NQL528,0415686430
VUK166,0485351663
SHS778,0407182905
NWT886,0458253810
MRS275,0489003693
EJZ968,0425043739
ZNE379,0405175344
FTU354,0482262108
XTI567,0463434638
CUN980,0410178969
DGE678,0485415878
YML196,0434288205
YYL673,0425489264
VGN803,0407455210
MDO434,0443683904
SVN845,0432537794
GSP598,0438812353
OZF530,0457230531
JVI847,0487512464
SOY639,0473163477
MQN838,0467440501
MSE044,0448367660
TZQ933,0493235303
XGR992,0467338689
SRH836,0425038812
JEC488,0469129920
ZLZ863,0487373180
CIC502,0465205810
UZA151,0471265461
SPW528,0446178031
KYG023,0421388010
VQV689,0435278768
CXK368,0417138995
GPT798,0420872206
YVK797,0452051763
UDE713,0499739517
TYT869,0455563709
XCK428,0491289277
DWF771,0425226427
OSC151,0414660163
ERQ091,0472798212
OLO471,0402907266
YTK430,0458124110
YHZ937,0441790282
BCT945,0476280282
FJE454,0432309982
KDM471,0453099288
RQK546,0400832883
ZKA049,0402860635
GHP923,0479762325
OVJ323,0415987970
NYZ517,0462089210
MBN641,0412945432
PNX048,0412397613
EWT587,0466442921
ZEN467,0428007620
QCA300,0483177088
CHE902,0414006228
ZJU053,0457974318
IKV462,0437435185
LGF162,0462337773
KPL361,0405162084
DZH468,0401214746
RHA743,0435084161
MOQ589,0455037471
RDD708,0419137418
TPH423,0422175348
ICN008,0415824082
YCP735,0411920555
MJN071,0441307457
DOQ016,0449103931
UXX038,0461710250
QZY336,0436696504
SVL932,0455734201
SDZ886,0483726277
NQB245,0453874550
RUM589,0425600784
UNX323,0435314903
JUJ341,0453162464
WEQ477,0480871172
DPJ345,0421305243
QJT681,0471149537
YMW941,0499731305
VDZ110,0482369803
WXM017,0441601972
PYH410,0473097318
YCV508,0403362290
JRF184,0448580199
LNH424,0495974961
AOL822,0409268328
CVN443,0476028165
OYX218,0414931257
TIA875,0452916173
ROS535,0489567664
XDL951,0445375236
ANH798,0450216179
DZU146,0452225975
IJY894,0418521814
JTQ248,0499766854
VBR175,0413814660
ZWD477,0413616808
TZW020,0498706582
LRO318,0414244444
WLE432,0413269386
GNH537,0443717048
WIU011,0469922810
SFN032,0445031817
NLN785,0402886152
RQV868,0421660242
HQI988,0451737905
MKG075,0411406863
TCU934,0473100837
KIK822,0479538829
PHT047,0449774146
UJQ689,0461465788
RTA996,0474673250
WUK119,0478424199
XVE865,0485244994
NGK424,0415736271
FYJ233,0460735857
AHD208,0404554960
MKP201,0475756391
ZYC627,0423658415
RPC279,0454221789
YQR533,0476530912
TPL134,0436381319
XVZ807,0477012287
DSY496,0458606601
QDD223,0437015396
TJN880,0439512191
PFB841,0441868577
BJC392,0435232159
ZVJ412,0458818126
ZEY299,0440170589
XKJ542,0487187965
SBX707,0498688617
WGE032,0485560019
HKF840,0479974611
XHZ472,0402834115
IBA782,0482468315
TUX137,0414880666
JFZ697,0469437119
DXG217,0480180474
PHK310,0482644172
ZHT983,0456504072
NZE703,0481770605
MXO097,0434112801
FME471,0491237443
TTU002,0460734244
HJP956,0445096421
JHH086,0430160203
PMT917,0478631450
HZT976,0455441646
GYR524,0455956290
WOZ910,0411648004
ZIB201,0491773148
SLO740,0468343923
PST442,0401432861
AUR665,0458440106
FXS093,0484083274
DWA729,0424037288
BYN650,0472002832
GPH416,0466756381
TKS339,0476054289
OZN370,0476203489
BFV558,0423955930
HFV112,0402245805
JRV191,0428666359
JDP261,0470146293
WNX526,0479141711
EYI978,0438335403
KBY446,0461559414
ZFW184,0476151589
NUM356,0401974725
JFU976,0435348509
UDN409,0416181831
WTV776,0481821374
HPJ516,0459522493
HBO836,0477304175
JCL615,0419752260
VMW705,0487755491
ERU474,0463606570
AFD764,0432332988
LIK446,0455370754
OSL892,0440342470
BAV008,0420790981
ENY310,0412390966
RIE063,0494519837
UUO854,0484611834
BWR441,0452922698
WWQ689,0420774525
NLX921,0438565096
TWO898,0479574502
JXK636,0479513887
NRD553,0457355546
ABA169,0413499256
UDP465,0422941290
TZM641,0465653377
EQP837,0422386629
YCC179,0493243642
ORQ108,0438822271
MKL919,0430394172
QTC376,0420068382
NKT885,0450271958
FRF508,0427022353
YSJ435,0419594647
QAM830,0445528197
OVO563,0488722507
VJQ290,0492971487
DMA572,0453188001
NGC357,0474137206
JQH193,0428771457
YHA244,0490532993
FMG176,0418766089
MWM583,0411416442
SZA490,0407087979
BLD412,0430998297
KPV421,0499612507
DUD269,0441733352
NOG379,0487106033
QPI724,0459570318
NDD819,0499812600
OLH263,0459403749
TJE739,0405258991
OHE293,0445312916
WND791,0485418372
RCA356,0421487985
YIC346,0408581903
HKC949,0429427268
DPM919,0435103353
TBG206,0490796707
YIX849,0438130913
CHU946,0429967876
FLX433,0422109260
SKO367,0464924859
ELX371,0475183436
WDG277,0485817663
KDA609,0457200839
MBP760,0471704915
AZT649,0485315134
XRD063,0409933665
MDW141,0474165318
TNK325,0411512368
GTD188,0436968625
TFF013,0422539102
JLS122,0457886776
XRL857,0495487796
BAQ830,0460424537
TSM684,0439642156
RHV829,0440036645
HEK334,0439423244
UCS095,0466440534
LPO124,0488075414
ILP269,0485548132
ZQN869,0443640753
AED208,0481780559
VUK477,0466877540
DHS734,0422486096
CVV764,0470556979
ZQP330,0456784172
SXU711,0474377152
EYI970,0432512388
STH866,0447986316
EMU157,0480143061
VEK203,0495109414
DDK808,0401634975
UGX666,0403087917
SNT157,0493664645
AMQ047,0418199095
UNE271,0484815788
CHK330,0460179707
UPR073,0466090348
MHO819,0440123052
JEM978,0465933709
VKT474,0480813283
FMS536,0474839789
PLS101,0483639796
OFH780,0488709562
OMJ678,0469326601
WMY600,0438641653
LHO335,0441347048
LCP357,0418982544
HEH003,0449025955
YYP078,0458580640
HGA503,0465057643
PSV447,0417922753
YBF067,0481043977
YIS102,0480853462
ENU557,0464422858
EBL578,0444741195
WDG269,0415901661
MWU677,0427227239
BNS692,0421854218
ZFH809,0413769731
LGJ755,0488682928
EUV074,0418811633
HJY025,0497776207
RXJ150,0460023575
ENA044,0493804011
ZTF298,0497798320
LSF156,0403973373
ISH311,0480767284
VZS425,0475918376
PVW063,0458340280
FWO953,0426904699
CHL822,0427432871
XFD007,0430940412
PPC377,0434369377
VPH321,0421739521
SAB555,0478458684
SXI651,0444605860
GFT371,0476198800
CAD925,0450695345
FAU424,0464194874
VVM228,0467203155
JGJ084,0425733863
VRF097,0463684914
NIY829,0454133481
FOK856,0487384872
ORU186,0475457670
DOG488,0416233486
FGT381,0476035531
LLF760,0445000666
UZK643,0455231445
WRQ178,0456021235
GMN524,0456134300
LAP720,0481721738
VWL775,0436895260
MTG783,0493329514
HIP727,0459503146
PEM231,0499969658
KXM474,0407008921
OVK998,0424019471
VOM660,0495156521
GPA618,0451805851
EVE979,0407892912
TKW955,0405470118
OMB894,0437463384
SHU489,0461129735
IWY544,0483034223
TVY547,0468854554
FVH425,0455391417
GLL890,0401914207
OVI422,0422273817
AMQ683,0413641767
EFE346,0430839648
NRD279,0464331420
WTP684,0412261606
MKI189,0402714612
YGA005,0437325694
FTA912,0415699505
APY886,0473340171
MDI532,0406961086
GSX585,0419075462
QWC742,0484419868
YGJ939,0459355117
EJT163,0445860245
QYI541,0492242644
HWD276,0457509267
GBD818,0449405637
KWD776,0422841298
MOY972,0416579524
PQC769,0437291023
IFD320,0435003360
BWS538,0450635139
DVH015,0433089481
JBH621,0454262091
FCB289,0470401196
AKW518,0442450460
AMF673,0468972344
DBR384,0450760174
TJO531,0442695765
KSM373,0466465323
WNF078,0415591185
BZJ068,0485356056
FNT581,0416491903
HWY294,0427750356
NPT116,0462326549
AHH378,0420309399
VIB406,0461336510
JYF355,0461887203
OTV585,0436964984
CSD372,0424763999
UOL956,0470451251
TYP417,0494162791
UKA523,0417816511
OFH317,0434068562
OVW399,0484640630
IYJ105,0479267778
MVO178,0449891642
WKT005,0413152003
YWY982,0461620710
NMY388,0496454815
VXS476,0418816254
TXD675,0467303619
HWV442,0454777942
TLF619,0413517057
JMR493,0444118617
GCR880,0421163407
GEK690,0480411534
QUN122,0407398150
HFP370,0450925422
HZE649,0493403482
UGX245,0475620660
TSA749,0462293147
JRT983,0454948249
RSU141,0465034074
KEU804,0401117577
ARO890,0484325301
OMI890,0415518846
YTM962,0487911353
TIX172,0479033660
FMZ829,0471837583
NTZ596,0472519050
CTG821,0437404358
XCM827,0495049439
CTP659,0443736612
BUK700,0411634250
PCV845,0429298273
CNQ594,0400319952
JHD059,0496919855
LFF329,0401511904
NOC978,0479275359
WXF426,0477756828
NTT176,0451476314
WCQ833,0462460954
AZZ293,0453199777
IBC670,0429455539
SAX771,0455935183
KNO102,0463385896
TPQ911,0403837466
WOR003,0439225955
ZLI952,0468192819
WYT599,0459762313
OMA214,0487485508
EHP387,0497801201
SQP109,0449040229
LOM270,0463817856
XWK735,0493708007
DDR809,0404167067
OEF657,0484818413
FNU660,0489596998
GWM413,0464022589
AAH939,0462483050
SBV688,0449884630
VLM825,0458077583
JSH604,0443924270
XLZ595,0402676799
JSR527,0480943473
ERB012,0466212630
FSS947,0462273732
XZU874,0466865415
ZFS960,0407137788
CIK560,0437828029
JAJ277,0406968618
BHV880,0454249947
GZF642,0490856814
ZWB706,0499187997
IWP816,0454312203
XBZ201,0464254437
OHC040,0476059174
KKV658,0496007554
BDW156,0491536191
RKX903,0490959455
CPK878,0409092921
PHG499,0466974742
NON829,0430066754
BYI977,0488395879
RUB693,0469819598
VLZ410,0413695752
SMA939,0460878521
ZJP029,0454856046
SJL515,0424311617
BUJ153,0422430412
BFR021,0406451912
MGT244,0499012514
EMB618,0407938123
VEE517,0407008078
UXF375,0472991475
SDN598,0451403493
PDJ852,0450022687
OJY154,0421428974
LLM496,0416602986
ZGS539,0452119749
JKN073,0405085951
HVG985,0477710849
IZV544,0443911417
CJS133,0413535434
TGS989,0477933203
XGN476,0441449256
ULL883,0480811825
EIY487,0459277379
XUM990,0408609877
CFO694,0406931633
BYO721,0497756862
VKD476,0495215706
XBJ152,0402849919
KMC833,0433370897
EEV539,0465916433
VOB355,0477132274
FRS335,0428007679
OPD621,0422539802
WKH928,0466234394
WCX894,0469698676
JRG799,0481959304
YFB504,0402793093
OMX427,0463579326
RPW765,0491756531
HKZ002,0456092361
ZMA660,0444661643
WKA256,0425939675
CWT090,0435109174
PHC404,0402105998
QYA192,0420222311
TBA805,0434887933
BCR053,0471915965
LSB759,0476419465
FQN161,0427034117
IAR815,0422453335
PXM009,0444986453
RZJ850,0425582033
RRA822,0486524554
YON451,0413949844
EQH692,0490406075
IYF654,0430293893
AAY534,0443219511
MNT644,0438674319
SUZ701,0478294129
PUL173,0453205150
OCZ936,0472114278
SWR359,0450042913
VEY709,0438151032
FZV367,0450078852
HRF485,0407925373
BJE003,0427889191
OJK608,0430533684
DZT909,0415272052
FJX883,0402373192
XLI838,0460961474
KAO749,0413842835
ZVI344,0453163372
OPL690,0477365249
PAK529,0460608251
YTQ514,0406557078
SCW942,0434141238
KLV548,0461387998
SAX026,0437946433
NSG639,0498433334
DAF801,0410014714
KEU434,0494170468
OQN710,0426745539
JAH289,0446726230
ESL085,0479355534
MAW354,0499908109
MPC300,0436437020
XXN383,0495634964
RRV439,0415336411
AXL440,0426263613
VOW767,0479245941
NBI361,0461475597
TWC205,0463990340
OQT280,0496569285
HRU997,0498047675
RZJ176,0448017785
HZT713,0477971554
PTI893,0490381480
PKV532,0483150617
IVZ588,0485759686
UZY113,0462133121
SBO059,0405510722
GHN205,0477277563
DYK382,0457172088
EXP688,0491577747
PTI196,0493414054
KOH563,0484253633
XAS586,0495578248
JBM273,0443697332
KQP243,0495970679
IIT419,0459403309
UEX753,0480766826
LZR741,0463096159
VSK433,0466218120
BJV291,0460175061
BTZ711,0414381121
CCU305,0496856840
FUH352,0465267483
GOD037,0409384763
QUF811,0442005332
PBP013,0495577796
MSR482,0404753222
SSJ963,0488835032
MXH338,0485755270
GVY195,0425037022
NUU599,0469552241
OAE373,0460377394
CPY633,0484507225
MFJ884,0471085139
JIK921,0437069615
EEK942,0423278712
JUA331,0419524114
RTO441,0442764137
LJV650,0400026070
EYD616,0432174443
GVD878,0471183709
EVJ291,0467317908
DST950,0440827722
YGX730,0430042039
RIH443,0434304356
BUI969,0408608155
WRO688,0404392547
PWA415,0440846843
NQJ561,0425648298
XXO390,0414577956
FOV305,0403978827
RPR228,0466423595
MRH185,0476737395
FNA866,0489767121
KVX766,0444840766
BDT367,0463979970
LFP285,0492057582
WDF964,0427448177
DJC241,0477533968
SER566,0484848097
NZL650,0445993693
IDR980,0458545910
WHT200,0445208236
BUG875,0490027306
GPB191,0499149027
FGM851,0469972668
ETQ538,0462944262
SNQ399,0476968774
JEV558,0475450912
RGU437,0424182340
WZO230,0496989482
BVQ328,0410943777
LIW399,0443575108
VKU817,0492682949
TWH472,0429262765
ZPO507,0425857415
QVL800,0414902844
MNT423,0448326594
QQT734,0457697302
TDV212,0433536343
VFL568,0427270012
DTN915,0474540536
SGC220,0408916381
GZV391,0461270913
NXF003,0469350533
GWB368,0474503199
BKS154,0403781304
IJF609,0406697939
EUJ666,0436468094
GTZ976,0476488441
TTN465,0446870449
QJW094,0445990344
YZK849,0498595032
JHE807,0425969153
GMA259,0493333654
ZDM169,0456475287
FHS469,0475491860
AJB248,0467727901
ERF906,0441219121
OES648,0468639422
CCA801,0466349521
RVY594,0408537934
JYH750,0484007059
MRS807,0456382345
VZW673,0473952291
HMF820,0473224120
RLX226,0432887976
TJP801,0418251779
SFS963,0480306847
ZIG022,0435461678
DZY020,0447099050
KHN390,0478466454
LBC777,0465560084
XQS352,0494712162
BQT725,0475880854
YOT176,0422707409
PHM420,0491729565
ANG582,0429191234
CLV107,0449120495
NBP323,0472872954
IFZ750,0464480603
VCW098,0489624226
YSQ071,0499476367
JPP479,0427754887
GGF158,0425876807
QJF940,0449574378
REP876,0410453400
CIP034,0440360107
VKS395,0419263836
DQW472,0430275996
KQM235,0461928072
FQG231,0403711281
OCA620,0449958149
IAT008,0403559093
MKC981,0455173255
ZZT645,0464041129
ADK183,0420616588
EWW178,0407483556
XNH207,0422367208
PLS785,0458171819
BTA980,0439023104
JEF360,0486756982
DRZ845,0419064800
TUO858,0450475189
WET209,0443276569
PTU220,0483214304
ICD623,0466481104
SXX071,0462481397
VGW386,0472352662
WVN413,0454368091
HUS425,0416415692
DWD737,0495073177
AFW176,0444297145
JLQ669,0404433883
NZD616,0493478269
WJB670,0403526868
TGY216,0475741389
YOW375,0442705975
FMO283,0482056318
PNZ821,0460037797
DXR816,0499524633
JXV655,0422347815
RVG093,0448912876
WUR089,0480558469
XFW352,0496872655
VFR881,0410531483
RWW498,0460624430
NKG193,0400694259
LBX268,0424339486
WRU325,0443284374
PQG024,0461759188
OSA028,0467076210
NPJ381,0443691006
UFS342,0451797681
SZU572,0408918742
XIT171,0431050519
DNX463,0479789972
PZZ534,0445883607
CTQ937,0420256346
UHB805,0494854250
IUZ629,0472922145
IPP172,0495640531
RJG734,0408699829
ADR826,0417943775
IVK180,0438452314
QKM342,0438419231
OXB060,0426559379
YAB910,0468276154
XIG414,0431337838
TKP303,0465603289
NVJ717,0424524785
FOF719,0484149868
KSU996,0462811572
CWA031,0483289380
BUK330,0489330950
NIU037,0438693919
ZGR663,0417174569
QCB528,0478967972
SMR746,0473425234
KUV119,0490856157
EUC554,0485161833
XHC452,0471747372
NQQ534,0469971533
XJH028,0430984706
DAC177,0431067482
ENE180,0497884955
LSH578,0401845570
IQN794,0454420528
OHM366,0419696945
DFN900,0410413543
LWC744,0461982310
GEA161,0458455077
UQV185,0495306697
TFO088,0472217253
EDX753,0421510187
NEC385,0481257891
MOY446,0489316119
HES311,0460055025
HPF788,0479095815
JPT205,0450697087
SZI374,0418434603
ULD649,0462112724
LBG323,0429781114
RWJ609,0459719657
GQB893,0401301335
AHS488,0484379391
GWA589,0428029298
CCR696,0461865407
LOA876,0482254205
DXO377,0487900263
MTG947,0439247024
SKN631,0443955426
MNL471,0450596256
SMA878,0412489770
PBJ018,0422779298
EDC739,0467856088
PJZ808,0476617003
MPR787,0454952405
OQX629,0405111315
QSR207,0427577196
EQS857,0412412630
JLR963,0404517020
FUQ749,0429185768
OCC486,0466730829
WNZ486,0424244070
VNW572,0469588203
FZF506,0480266794
GFD119,0449923775
NRZ895,0437045115
JOF121,0485208294
BEK780,0464774168
WVH257,0485088686
UGL026,0493878947
PYW561,0479161581
OCJ039,0418557615
ZIX689,0435149174
CVV091,0456163210
ZGB963,0493381082
RAD751,0488753518
RBZ400,0401742681
LAC920,0404350581
LCM231,0471271318
GJR805,0410813637
FYF608,0426862798
OAB739,0435787336
DNU010,0406741459
UAV481,0421211403
VKH810,0462031957
WNN028,0436088635
WCW247,0411945829
VTF133,0471817815
IFM407,0474862480
VXD518,0436836711
GUF058,0429587229
GNR113,0496351302
GVN045,0470937656
ZPU993,0417335193
FCE749,0429533910
HHB359,0497311089
PHV208,0449661910
NXN442,0444967945
UMV108,0474391820
LHE372,0430602953
PKI554,0426729554
SYP530,0422263321
WBJ142,0493869074
GDZ800,0421134600
IMZ551,0485044708
ZTO052,0486742516
QPJ369,0437302106
VMF665,0446245729
YAX294,0416684006
OEC700,0436523432
ZFW041,0492610434
YNB017,0427250552
DHG226,0477917428
TSN813,0498656762
SKR545,0457668647
EIC419,0432442567
UJF533,0400599948
OZC585,0497339499
VWH636,0439474689
EWK324,0409422253
MNU285,0427867844
AMB728,0421241381
HOQ721,0497097105
BVX676,0456711773
IWP615,0409936986
QES254,0412902405
CDB135,0465422636
AYU018,0405348863
UJH871,0436411903
UAC415,0467162168
CXX972,0460877869
GOR936,0430297683
TMK877,0456496617
BUP292,0426714025
STD333,0495239323
IYS410,0444587310
ZUU143,0467025974
DKU949,0413275216
IPS805,0488313385
KEZ956,0450756203
ONK432,0424814684
NRR348,0497349118
FJK483,0447454841
OYQ664,0428203464
PJZ036,0482574806
VLA794,0470518532
HOO546,0436145441
CJV660,0446840591
TAR250,0400405956
ACH631,0436546017
YLE667,0452604733
XVL149,0452590791
GKN267,0418798081
YAO564,0443600557
DTI744,0450380841
XXH121,0407755937
SNE372,0483603387
UXA310,0419778716
WNA592,0462232025
GGC743,0498926572
HOA883,0485519061
UTQ064,0426378231
AMO314,0472844895
CJV961,0406839765
LFF725,0467441395
VZT019,0478679556
BTX340,0423851342
DHY374,0487465586
CWP346,0415116884
AUA886,0400148362
YMH189,0487738854
BVC864,0417244935
DDY804,0402754917
ASE053,0429368126
BDQ334,0442478142
OVS848,0415935251
LIV364,0413997766
ANG885,0412057500
UUC187,0450456643
JQD635,0462823115
FEW847,0490166312
OBK242,0457900466
UPD139,0458614033
UBM590,0406905978
HFI963,0407935295
RXZ617,0428266714
WJI154,0458404291
PQR458,0465932467
RTG940,0413996805
OKX617,0446284570
ZCH635,0483509214
STL682,0453141678
XJJ445,0440728799
WYY637,0454836598
WRL820,0403434751
WYB888,0499847767
BJS836,0452415604
NOK186,0459414582
VIC147,0489301584
IZZ302,0467202127
YUS231,0475960549
JDD826,0456776769
AHR081,0466849663
CYG314,0420382484
UDC152,0482104260
MUB000,0428560918
YAO816,0488160736
HJY988,0426552347
RBN468,0458850766
HHD923,0463019542
BID016,0426960683
NWS708,0414039213
LVJ238,0428416515
VBX870,0406052127
DDM831,0401828200
QZH481,0425566974
ZWP904,0468899711
NTM614,0494226842
XFU054,0422332446
REG404,0420547265
SXI938,0490843829
JMX752,0413259064
WLT149,0474889027
RKW430,0466917857
TCK893,0462798274
LYP612,0426352096
AYP147,0417755930
WJP864,0454005356
DDO023,0492098678
FYV495,0416111428
LQG490,0447132101
KWD286,0474393097
ZTL023,0466754244
WQL702,0401397107
UTQ324,0482645368
XVT080,0457086927
WZU239,0466234820
ZLA985,0447976745
ZKE488,0433905365
JAQ928,0491781956
UDP964,0429271973
FIP603,0479461646
NRK334,0450730112
PKH565,0444462767
UYZ942,0446927456
BOR464,0497854154
LPT309,0497868059
PES075,0495032940
BYY460,0491441962
TBU099,0410970023
VHA067,0421242772
GCJ880,0431381302
ZQW335,0463717244
HQR713,0425972598
JVH271,0492384578
PSV330,0453971277
VNI590,0441271718
NTR854,0441300509
KAT537,0486709989
CTB243,0490969285
KFX808,0494169860
PHP600,0450062780
NLB673,0469106757
WIG413,0432284183
WWL109,0498482114
DKL325,0474495195
XLA205,0413594350
CPS653,0403227931
FGG033,0448034350
